"gene","DESeq2_log2FC","DESeq2_padj","DESeq2_group","edgeR_log2FC","edgeR_FDR","edgeR_group"
"AT5G40380",-0.835268016,NA,"ns",-0.585477133636478,0.627794471403946,"ns"
"AT5G40400",-0.539352423,NA,"ns",-0.451261784950207,0.649991725233106,"ns"
"AT5G40420",-1.917761368,NA,"ns",-1.7531308558957,0.22495955800297,"ns"
"AT5G40440",0.813225849,NA,"ns",0.758130695074726,0.377214847179619,"ns"
"AT5G40510",0.336930645,NA,"ns",0.282632617300362,0.825565093989797,"ns"
"AT5G40520",0.481826331,NA,"ns",0.445010796351926,0.491786477736247,"ns"
"AT5G40530",-0.566341116,NA,"ns",-0.462519948820805,0.609795300517826,"ns"
"AT5G40550",0.301556481,NA,"ns",0.297590022474498,0.700169377506457,"ns"
"AT5G40590",-3.583731329,NA,"ns",-3.57507423433576,0.18362283729901,"ns"
"AT5G40600",1.266361523,NA,"ns",0.682275995049288,0.734304062626141,"ns"
"AT5G40640",0.437907667,NA,"ns",0.37044747792517,0.684241652922767,"ns"
"AT5G40710",1.140169902,NA,"ns",0.703103904255106,0.728599382803658,"ns"
"AT5G40720",1.578864127,NA,"ns",1.47186462594798,0.250498218130386,"ns"
"AT5G40800",-1.190907151,NA,"ns",-1.01942718546237,0.40683330395584,"ns"
"AT5G40820",0.816190696,NA,"ns",0.731159525878589,0.445498027160109,"ns"
"AT5G40880",-0.186355783,NA,"ns",-0.144307843517145,0.860844474192156,"ns"
"AT5G40970",-0.530237307,NA,"ns",-0.516307880244085,0.485031136855464,"ns"
"AT5G41000",0.178347492,NA,"ns",0.151481122424368,0.872701403462284,"ns"
"AT5G41050",1.368093064,NA,"ns",0.994384314048248,0.626926882356967,"ns"
"AT5G41120",-0.688582734,NA,"ns",-0.627069382754072,0.46713945216142,"ns"
"AT5G41130",-0.383687123,NA,"ns",-0.377363975411431,0.647972732295586,"ns"
"AT5G41220",0.151495994,NA,"ns",0.163898837840047,0.822207316933153,"ns"
"AT5G41240",0.251092093,NA,"ns",0.231827912798343,0.716356111217605,"ns"
"AT5G41270",0.5556938,NA,"ns",0.455114790609322,0.607288975947117,"ns"
"AT5G41320",-1.341111197,NA,"ns",-1.33137149058019,0.366679887671553,"ns"
"AT5G41410",0.230025134,NA,"ns",0.16728148487875,0.864098473380147,"ns"
"AT5G41460",-1.070266484,NA,"ns",-0.882424479070699,0.441825490738354,"ns"
"AT5G41480",-0.242690768,NA,"ns",-0.222153803222505,0.753378268991641,"ns"
"AT5G41560",-0.731317106,NA,"ns",-0.700873928029682,0.37300788392339,"ns"
"AT5G41580",-0.02750968,NA,"ns",-0.0213624623478314,0.977945378337209,"ns"
"AT5G41620",0.193490487,NA,"ns",0.121637104012844,0.903755547779202,"ns"
"AT5G41760",0.223299839,NA,"ns",0.204427378474963,0.837734904283376,"ns"
"AT5G41880",1.052372863,NA,"ns",0.655529394271945,0.754058450877686,"ns"
"AT5G41900",0.861689644,NA,"ns",0.57050939873534,0.801765490701137,"ns"
"AT5G41910",1.435971317,NA,"ns",0.846476805397985,0.662146487301101,"ns"
"AT5G41960",0.833113122,NA,"ns",0.355215830916867,0.872698333890092,"ns"
"AT5G42060",-0.059174672,NA,"ns",-0.0850566560765938,0.920539328413674,"ns"
"AT5G42070",0.062172204,NA,"ns",0.0433254906459504,0.974707935065603,"ns"
"AT5G42110",-0.122832864,NA,"ns",-0.155667675863319,0.878968700040977,"ns"
"AT5G42150",0.107308799,NA,"ns",0.0844232781778834,0.912954701703984,"ns"
"AT5G42200",0.77664242,NA,"ns",0.579546833997348,0.616226711756391,"ns"
"AT5G42210",-1.018281951,NA,"ns",-1.01873737545456,0.362208523039707,"ns"
"AT5G42330",-0.056690765,NA,"ns",0.0251268958329511,0.981706442595314,"ns"
"AT5G42350",0.006215099,NA,"ns",-0.00520489743264716,0.9929881580047,"ns"
"AT5G42440",-0.015704573,NA,"ns",0.026138192675407,0.979482924194821,"ns"
"AT5G42460",-0.210791824,NA,"ns",-0.275551742724151,0.790292676386939,"ns"
"AT5G42500",-0.48585181,NA,"ns",-0.45664709041869,0.555346186018905,"ns"
"AT5G42530",-2.697885618,NA,"ns",-2.69155732302997,0.202655544341155,"ns"
"AT5G42680",0.470291112,NA,"ns",0.448585545772904,0.595529204570118,"ns"
"AT5G42770",-1.247629537,NA,"ns",-1.13048589856125,0.314604502284025,"ns"
"AT5G42810",-0.26200513,NA,"ns",-0.191745680213476,0.844376008499095,"ns"
"AT5G42900",0.414281814,NA,"ns",0.442408589176255,0.540809757395733,"ns"
"AT5G42930",1.105818902,NA,"ns",0.963735142841605,0.474753723490642,"ns"
"AT5G42990",-0.17162147,NA,"ns",-0.14522383446769,0.858309842467805,"ns"
"AT5G43020",0.29245459,NA,"ns",0.259940272346404,0.770266608110504,"ns"
"AT5G43050",-0.093835679,NA,"ns",0.00661595577867203,0.99462090385861,"ns"
"AT5G43070",-0.392425668,NA,"ns",-0.347934286116371,0.647640536119946,"ns"
